document1,document2,label,antecedent,
고모한테 말했더니 ,"그 다음에. 근데 그 고모한테는 말을 못하겠는 거예요, 카페기도 하고 그래서 말을 안 했는데 다음에 고모들끼리 다 오신 거예요, 저도 왔다 그래서. 근데 다른 고모 한 분이 말이 안 된다고 하시면서 “니가 그 저녁에 여기에 왜 걸어 오냐고, 위험하게” 하면서 “난 니가 무슨 일이 있는 거 같다”하면서 고모가 말씀하시는데 “니가 만약에 뭔가 그 사람한테 안 좋은 일을 당했으면 동생을 데려와야 되지 않냐”고 말씀하시는 거예요. 고모가 옛날에 엄마랑 있었던 얘기 막 하시는데 뭔가 동생을 데꼬 와야 될 거 같은 거예요. 그래서 ",,저,
하시는데,"고모가 옛날에 엄마랑 있었던 얘기 막 하시는데 뭔가 동생을 데꼬 와야 될 거 같은 거예요. 그래서 고모한테 말했더니 고모가 너무 화나가지고 “아빠한테 말하자고, 그리고 경찰에 신고하자고. 너는 그 사람이 밉지도 않냐.”고 ",,고모,
계속 짜증냈어요.,그래서 동생이 왔을 때는 어땠어?,,동생,
"했대요,",아빠가 처음 동생 데리고 온 날 물어봤는데 그때는 아빠가 그냥 물어봤대요. “그런 거 없냐.”고 그랬더니 “언니한테는 많이 했는데 나한테는 별로 안 했어.”라고 ,,동생,
진짜 완전 진저리 치면서,그러면 그때 동생 반응은 어땠어?,,동생,
“아! 짜증나!”이랬어요.,"그러면 그때 동생 반응은 어땠어?
진짜 완전 진저리 치면서 ",,동생,
많이 혼나기도 했거든요.,"그러면 그때 동생 반응은 어땠어?
진짜 완전 진저리 치면서 “아! 짜증나!”이랬어요. 동생은 좀 하고 싶은 말을 막하는 성격이어서 그런 거 때문에 ",,동생,
그렇게까지는 못 했어요.,OO는 동생처럼 반응하지는 못했어요?,,OO,
"싫다고, 안 한다고 그냥 그랬는데.",OO는 어떻게 반응했어?,,OO,
이렇게 막 닦고 그랬어요.,그래서 OO는?,,OO,
바로 이렇게 놓고,"그러면 OO가 이렇게 닦고 하면 그만해?
아니 그 사람이 잠깐 이렇게 이렇게 하다가 놓으면 ",,OO,
그냥 들어가.,"그러면 OO가 이렇게 닦고 하면 그만해?
아니 그 사람이 잠깐 이렇게 이렇게 하다가 놓으면 바로 이렇게 놓고 ",,OO,
엄마랑 그 사람한테 벌? 같은 거 주고 싶었어요.,"OO는 신고할 때 어떤 마음이었던 거야?
그냥 뭔가 ",,OO,
그 사람한테는 그냥 그렇게 해주고 싶었어요.,"OO는 신고할 때 어떤 마음이었던 거야?
그냥 뭔가 엄마랑 그 사람한테 벌? 같은 거 주고 싶었어요. 뭔가 엄마는 그래도 그냥 배신감 때문에 더 엄마가 잘못했다는 걸 알려주고 싶기도 했고, 그냥 ",,OO,
감옥에 들어가고,"뭔가 엄마는 그래도 그냥 배신감 때문에 더 엄마가 잘못했다는 걸 알려주고 싶기도 했고, 그냥 그 사람한테는 그냥 그렇게 해주고 싶었어요.
그래서 어떻게 됐으면 좋겠어?
그냥 다 잘 됐으면 좋겠어요, 다.
어떻게 되면 잘 되는 걸까. 어떻게 되면 OO 마음이 ‘그래 이 일이 잘 처리 됐어’라고 생각이 들 거 같아?",,사람,
벌을 받고,"뭔가 엄마는 그래도 그냥 배신감 때문에 더 엄마가 잘못했다는 걸 알려주고 싶기도 했고, 그냥 그 사람한테는 그냥 그렇게 해주고 싶었어요.
그래서 어떻게 됐으면 좋겠어?
그냥 다 잘 됐으면 좋겠어요, 다.
어떻게 되면 잘 되는 걸까. 어떻게 되면 OO 마음이 ‘그래 이 일이 잘 처리 됐어’라고 생각이 들 거 같아?
감옥에 들어가고 ",,사람,
잊고 살려고 ,그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?,,OO,
‘기분 나쁜 거다’ 이렇게만 생각하고,"그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?
그냥 원래 잊고 살려고 ",,OO,
생각하다보니까,"그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?
그냥 원래 잊고 살려고 ‘기분 나쁜 거다’ 이렇게만 생각하고 사는데 뭔가 엄마가 임신했다, 그 말 듣고 다시 처음부터, 옛날부터 그냥 다 뭔가 서운했던 일 이런 거 ",,OO,
생각 해 보니까,"그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?
그냥 원래 잊고 살려고 ‘기분 나쁜 거다’ 이렇게만 생각하고 사는데 뭔가 엄마가 임신했다, 그 말 듣고 다시 처음부터, 옛날부터 그냥 다 뭔가 서운했던 일 이런 거 생각하다보니까 거기까지 갔는데 그런 일을 생각해 보니까 다 그게 성추행이고 그랬던 거잖아요. 그래서 ",,OO,
그런 생각이 나면서,"그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?
그냥 원래 잊고 살려고 ‘기분 나쁜 거다’ 이렇게만 생각하고 사는데 뭔가 엄마가 임신했다, 그 말 듣고 다시 처음부터, 옛날부터 그냥 다 뭔가 서운했던 일 이런 거 생각하다보니까 거기까지 갔는데 그런 일을 생각해 보니까 다 그게 성추행이고 그랬던 거잖아요. 그래서 생각 해 보니까 그게 다 성추행이었다고 하면서 성추행이네, 이렇게 ",,OO,
더 화가 나는 거예요.,"그래. 그러면 그 사람이 OO한테 했던 행동이 ‘이건 가족 간에 할 수 있는 게 아니구나’ 그런 생각이 언제 들었어?
그냥 원래 잊고 살려고 ‘기분 나쁜 거다’ 이렇게만 생각하고 사는데 뭔가 엄마가 임신했다, 그 말 듣고 다시 처음부터, 옛날부터 그냥 다 뭔가 서운했던 일 이런 거 생각하다보니까 거기까지 갔는데 그런 일을 생각해 보니까 다 그게 성추행이고 그랬던 거잖아요. 그래서 생각 해 보니까 그게 다 성추행이었다고 하면서 성추행이네, 이렇게 그런 생각이 나면서 ",,OO,
그때 엄마한테 더 말했던 거 같아요.,"나는 저 사람을 더럽게 생각하는데 저 사람의 아이를 갖는 거고, 낳는 거잖아요, 엄마는. 그래서 그 것 때문에 더 ",,나,
그 생각이 들면서.,"나는 저 사람을 더럽게 생각하는데 저 사람의 아이를 갖는 거고, 낳는 거잖아요, 엄마는. 그래서 그 것 때문에 더 그때 엄마한테 더 말했던 거 같아요. ",,나,
누군가한테 말 안 했던 거 같아요.,"나는 저 사람을 더럽게 생각하는데 저 사람의 아이를 갖는 거고, 낳는 거잖아요, 엄마는. 그래서 그 것 때문에 더 그때 엄마한테 더 말했던 거 같아요. 그 생각이 들면서.
잊고 살려고 했다는 그 말이 무슨 말이야?
그냥 기분 나쁜 일이니까 별로 생각 안하고.
잊고 살면 이렇게 묻어두게 된다는 거잖아. 왜 그렇게 하려고 그랬을까.
그냥 예전부터 뭔가 습관? 그냥 안 좋은 일이 있고 하면",,나,
동생보다 표현을 덜 해서?,그러면 질문이 좀 이상하기는 하지만 OO랑 여동생 둘 다 있는데 왜OO한테만 더 많이 그랬을까.,,OO,
동생보다 표현을 덜 해서.,"그러면 질문이 좀 이상하기는 하지만 OO랑 여동생 둘 다 있는데 왜OO한테만 더 많이 그랬을까.
동생보다 표현을 덜 해서? 그런 거 같아요, ",,OO,
"자기 의견이나 주장 같은 걸 확실하게 말 그렇게까지 못하니까, 동생보다는.","그러면 질문이 좀 이상하기는 하지만 OO랑 여동생 둘 다 있는데 왜OO한테만 더 많이 그랬을까.
동생보다 표현을 덜 해서? 그런 거 같아요, 동생보다 표현을 덜 해서. ",,OO,
생각이 반반?,"어때, 본인은. 그냥 안 받아도 될 거 같아요?",,본인,
"받고 싶기도 하고,","어때, 본인은. 그냥 안 받아도 될 거 같아요?
그냥 생각이 반반? ",,본인,
좀 안 받고 싶기도 하고.,"어때, 본인은. 그냥 안 받아도 될 거 같아요?
그냥 생각이 반반? 받고 싶기도 하고, ",,본인,
안았던,"그러면 OO가 맨 처음에 있었던 일을 기억해 줬어요. 혹시 그 사람이 맨 마지막에 했던 거 기억나요?
맨 마지막으로 했던 건 제가 집 나오기 전에 그때 막 ",,사람,
껴안았어요.,"그러면 OO가 맨 처음에 있었던 일을 기억해 줬어요. 혹시 그 사람이 맨 마지막에 했던 거 기억나요?
맨 마지막으로 했던 건 제가 집 나오기 전에 그때 막 안았던 그거 밖에 기억 안나요. 그게 제일 마지막.
그때 안을 때는 어떻게 안았어?
제가 누워 있었는데 뒤에서 막 ",,사람,
방에 들어와서,"침대 밑이었나, 위에였나, 아무튼 제가 누워 있었어요. 제가 기분이 나빠서 계속 그러고 있다가 ",,제,
누워 있으니까,"침대 밑이었나, 위에였나, 아무튼 제가 누워 있었어요. 제가 기분이 나빠서 계속 그러고 있다가 방에 들어와서 ",,제,
어떻게 누워있었나는,"이렇, 기억은 안 나는데 아무튼 뒤에서 껴안았어요. 제가 누워 있었는데, 옆으로 누워있었나, ",,제,
"옆으로 이렇게 누워있었던 거 같아요,","이렇, 기억은 안 나는데 아무튼 뒤에서 껴안았어요. 제가 누워 있었는데, 옆으로 누워있었나, 어떻게 누워있었나는 기억이 안나요.
왜냐 하면 등대고 누워있으면 등이 바닥에 붙어있는데 뒤에서 어떻게 껴안았다는 거지?",,제,
저한테 와서,집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 ,,사람,
"제 허리 잡고 계속 비비고,",집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 ,,사람,
"막 그랬고,","집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 ",,사람,
"주방에서 그랬어요, 주방에서.","집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 막 그랬고, ",,사람,
저녁때마다 그랬던 거 같애.,"집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 막 그랬고, 주방에서 그랬어요, 주방에서. 계속 거의 막 ",,사람,
옛날에도 그랬고.,"집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 막 그랬고, 주방에서 그랬어요, 주방에서. 계속 거의 막 저녁때마다 그랬던 거 같애. ",,사람,
엄마 도와드리려고,"집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 막 그랬고, 주방에서 그랬어요, 주방에서. 계속 거의 막 저녁때마다 그랬던 거 같애. 옛날에도 그랬고. 그래 가지고 예전에는 ",,제,
"주방에 계속 있었는데, 서 있고.","집에 오면 그 사람이 옷 다 벗고 속옷만 입고 있었는데 엄마가 항상 저녁을 차릴 때면 저한테 와서 막 제 허리 잡고 계속 비비고, 제가 싫다고 하는데도 막 그랬고, 주방에서 그랬어요, 주방에서. 계속 거의 막 저녁때마다 그랬던 거 같애. 옛날에도 그랬고. 그래 가지고 예전에는 ",,제,
그때는 좀 늦게 들어왔는데,"그럼 이 일이 있고 나서 OO가 얘기해 준 거는 엄마 저녁 차릴 때 허리 잡고 비비고, 라고 얘기를 해 줬어요. 이게 이 일이 있고 나서 그 이후에,
거의 저녁마다 그랬어요.
저녁마다 그랬던 거 같다고 했어. 이 일이 있고 나서 이 이후부터 맨날 맨날 그 일이 있었다는 거야, 아니면,
거의 매일 있었어요.
혹시 그 중에서 기억나는 날이 있어요?
교회에서 무슨 감사절이라든지, 아니면 성탄절이었나? 아무튼 그랬던 거 같아요. 교회 무슨 특별한 행사가 있는 날이었어요, 저녁에. ",,OO,
서 있었던 거 같아요.,"그러면 조금 더 얘기를 해 봅시다. 지금 OO가 얘기해 준 부분, 주방에서 OO가 뭐하고 있었던 거야?
그냥 식탁이 있고, 이쪽이 싱크대가 있으면 이쪽에서 엄마 도와드릴 거 없나, ",,OO,
계속 보면서.,"그러면 조금 더 얘기를 해 봅시다. 지금 OO가 얘기해 준 부분, 주방에서 OO가 뭐하고 있었던 거야?
그냥 식탁이 있고, 이쪽이 싱크대가 있으면 이쪽에서 엄마 도와드릴 거 없나, 서 있었던 거 같아요. ",,OO,
놓으려고,제가 엄마가 뭐 갖다 놓으라고 하면 갖다 놓고 아니면 수저 같은 거,,제,
앞에 서 있어요.,제가 엄마가 뭐 갖다 놓으라고 하면 갖다 놓고 아니면 수저 같은 거 놓으려고 ,,제,
도와드리려고 서 있었어요.,제가 엄마가 뭐 갖다 놓으라고 하면 갖다 놓고 아니면 수저 같은 거 놓으려고 앞에 서 있어요. 그때도 그냥 ,,제,
식탁이나 식탁 앞쪽에 서 있었어요.,"제가 엄마가 뭐 갖다 놓으라고 하면 갖다 놓고 아니면 수저 같은 거 놓으려고 앞에 서 있어요. 그때도 그냥 도와드리려고 서 있었어요. 옆에 있으면 좁으니까, 싱크대 쪽은. 갑갑하니까 ",,제,
"방안에 있거든요, 거의.","동생은 보기 싫다고, 그 사람.",,동생,
기분 나쁘고.,"그럼 OO의 어디에 닿은 거야?
엉덩이?
엉덩이에 닿았을 때 그때 어땠어, 느낌이.
이상했어요.
이상하고.",,OO,
"계속 하지 말라고 이렇게 하고,",그래서 OO는 어떻게 했어?,,OO,
엄마 옆으로 가서,"그래서 OO는 어떻게 했어?
계속 하지 말라고 이렇게 하고, 나중에 그러다가 안 되면 ",,OO,
그쪽 계속 붙어있거나,"그래서 OO는 어떻게 했어?
계속 하지 말라고 이렇게 하고, 나중에 그러다가 안 되면 엄마 옆으로 가서 좁으니까 ",,OO,
"제일 안쪽에 있고, ","그래서 OO는 어떻게 했어?
계속 하지 말라고 이렇게 하고, 나중에 그러다가 안 되면 엄마 옆으로 가서 좁으니까 그쪽 계속 붙어있거나 아니면 ",,OO,
그냥 들어가거나.,"그래서 OO는 어떻게 했어?
계속 하지 말라고 이렇게 하고, 나중에 그러다가 안 되면 엄마 옆으로 가서 좁으니까 그쪽 계속 붙어있거나 아니면 제일 안쪽에 있고, 아니면 ",,OO,
그렇게 말하고,"그 사람이 저인가, 엄마가 아무튼 둘 중에 저였는지, 엄마였는지 기억은 안 나는데 그거 하지 말라고, “그런 걸 왜 해. 하지 마.” 이랬더니 “이런 건 집에서 가르쳐야 된다고. 밖에 나가면 모든 남자들이 이 짓을 할 텐데 집에서 가르쳐야 된다.”고 계속 그러면서 계속 엄마가 따로 말했을 때도 ",,사람,
저한테도 그렇게 말하고.,"그 사람이 저인가, 엄마가 아무튼 둘 중에 저였는지, 엄마였는지 기억은 안 나는데 그거 하지 말라고, “그런 걸 왜 해. 하지 마.” 이랬더니 “이런 건 집에서 가르쳐야 된다고. 밖에 나가면 모든 남자들이 이 짓을 할 텐데 집에서 가르쳐야 된다.”고 계속 그러면서 계속 엄마가 따로 말했을 때도 그렇게 말하고 ",,사람,
그냥 기분 나빠서 안방에 들어가거나.,그럼 OO는?,,OO,
지금은 기억 안 나고.,"혹시 OO 엉덩이 어디쯤에 닿았는지 기억나요?
그건 잘 모르겠고. 그래요. 이런 일들이 저녁때마다 그랬다는 건 엄청 자주.
거의 그랬어요.
그럼 그게 초등학교 4~5학년 때부터 계속 있었다는 얘기예요?
어느 때부터 시작했는지 지금은 예전에 기억났던 거 같은데 ",,OO,
뭐라고 말해야 돼요?,"그러면 시작을 해 봅시다. 오늘 OO는 여기 어떤 얘기를 해주러 왔어요?
예전에 집에서 있었던 얘기?
어떤 일이 있었어요?
5학년 때 거실에서 아…
괜찮아, 천천히 얘기해요. 급할 건 없어.
이불이 깔려 있었고, ",,OO,
제 이름을 불러서,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 ",,사람,
옷을 다 벗고 있었어요.,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 ",,사람,
"앉아 있었고,","그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 ",,사람,
자기 그곳을 저한테 비볐어요. ,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 앉아 있었고, 밑에는 다 이불이 있었어요. 제 엉덩이 뭐라고 말해야 하지? ",,사람,
옆에다가 각티슈 갖다 놓고,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 앉아 있었고, 밑에는 다 이불이 있었어요. 제 엉덩이 뭐라고 말해야 하지? 자기 그곳을 저한테 비볐어요. “흥분된다? 뭐 남자는 흥분되면 정액이 나온다.”하고 휴지 ",,사람,
제 뒤에 있어서,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 앉아 있었고, 밑에는 다 이불이 있었어요. 제 엉덩이 뭐라고 말해야 하지? 자기 그곳을 저한테 비볐어요. “흥분된다? 뭐 남자는 흥분되면 정액이 나온다.”하고 휴지 옆에다가 각티슈 갖다 놓고 가져다가 이렇게 했는데 ",,사람,
뽑아가는 것만 보고.,제 엉덩이 뭐라고 말해야 하지? 자기 그곳을 저한테 비볐어요. “흥분된다? 뭐 남자는 흥분되면 정액이 나온다.”하고 휴지 옆에다가 각티슈 갖다 놓고 가져다가 이렇게 했는데 제 뒤에 있어서 저는 못 봤어요. 그냥 옆에 각티슈가 있고 ,,저,
한참 부르다가,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 앉아 있었고, 밑에는 다 이불이 있었어요. 제 엉덩이 뭐라고 말해야 하지? 자기 그곳을 저한테 비볐어요. “흥분된다? 뭐 남자는 흥분되면 정액이 나온다.”하고 휴지 옆에다가 각티슈 갖다 놓고 가져다가 이렇게 했는데 제 뒤에 있어서 저는 못 봤어요. 그냥 옆에 각티슈가 있고 뽑아가는 것만 보고. 그래서 계속 저한테 그래서 제가 잠깐 뭐를 막 하길래 그냥 나왔더니 계속 제 이름 부르면서 제가 동생 있는 안방으로 가니까 ",,사람,
그냥 안 부르고 말았어요.,"그 사람이 앉아 있었고, 책상에 컴퓨터랑, 책상에 노트북이랑 다른 책이 되게 많았어요. 근데 “OO야”라고 제 이름을, 제가 안방에 있었는데 제 이름을 불러서 제가 갔는데 옷을 다 벗고 있었어요. 근데 앉아 있었고, 밑에는 다 이불이 있었어요. 제 엉덩이 뭐라고 말해야 하지? 자기 그곳을 저한테 비볐어요. “흥분된다? 뭐 남자는 흥분되면 정액이 나온다.”하고 휴지 옆에다가 각티슈 갖다 놓고 가져다가 이렇게 했는데 제 뒤에 있어서 저는 못 봤어요. 그냥 옆에 각티슈가 있고 뽑아가는 것만 보고. 그래서 계속 저한테 그래서 제가 잠깐 뭐를 막 하길래 그냥 나왔더니 계속 제 이름 부르면서 제가 동생 있는 안방으로 가니까 한참 부르다가 ",,사람,
"동생이랑 침대 헤드에 걸쳐 앉아가지고,","그러면 이때 안방에 있었다고, OO는.
안방에서 뭐하고 있었는지 기억나요?",,OO,
거기에 등 기대고 앉아서,"그러면 이때 안방에 있었다고, OO는.
안방에서 뭐하고 있었는지 기억나요?
동생이랑 침대 헤드에 걸쳐 앉아가지고, ",,OO,
그냥 “왜?”하면서 나갔어요.,그러다가 OO 이름을 불렀다고 했어요. OO 이름 불렀을 때 어땠어요?,,OO,
나갔던 거 같아요.,"그러다가 OO 이름을 불렀다고 했어요. OO 이름 불렀을 때 어땠어요?
그냥 “왜?”하면서 나갔어요. 항상 제 이름 부르면 커피 타달라고 하거나 심부름 시키는 게 있어서 그냥 그러나보다 하고 ",,OO,
기억이 안나요.,"제가 집에서 되게 얇은 옷을 입고 있었고, 나갔는데 제 이름 불러서 앉혀서, 솔직히 그 다음부터 ",,제,
기억나는데,제 엉덩이에 댔던 거랑 각티슈는 ,,제,
알겠는데,"제 엉덩이에 댔던 거랑 각티슈는 기억나는데 행동이 잘 기억이 안나요. 어떻게 했는지. 닿긴 닿고, 그런 거 했다는 건 ",,제,
이불 위에 앉아 있었어요.,"그러면 일단 OO가 앉았다고 했는데 어디에 앉은 거예요, OO가.
그냥 바닥에. ",,OO,
절 돌렸던 거 같애요.,그 사람 오른 편에? ,,사람,
이쪽 부근 앉았던 거 같아요.,"지금 OO가 앉아 있는 쪽이 그 사람이라고 따지면 OO가 어디 쪽에 앉았을까?
이쪽? ",,OO,
"제 몸을 돌렸고,","지금 OO가 앉아 있는 쪽이 그 사람이라고 따지면 OO가 어디 쪽에 앉았을까?
이쪽? 이쪽 부근 앉았던 거 같아요. 오른편쪽에.
그쪽에 앉았더니?",,사람,
계속 불쾌하고 느낌이 이상했어요.,"그 말이랑 그 행동밖에 솔직히 기억 안나요. 앉았고, 그 뒷부분이 기억이 안나요. 그리고 저한테 “흥분되면, 남자는 원래 흥분되면 정액이 나온다.” 그랬고 각티슈랑 계속 뭐가 닿는 느낌이랑 “흥분하니까 커진다.” 그런 얘기를 했어요, 저한테.
그러면 닿는 느낌에 대해서 좀 더 얘기해 줄래요? 어떤 느낌인지.",,저,
하지 말라고 그러면서,"그러면 그 사람이 OO한테 비비고, 그러고 있을 때 OO는?",,OO,
계속 갈려고 했던 거 같아요.,"그러면 그 사람이 OO한테 비비고, 그러고 있을 때 OO는?
하지 말라고 그러면서 ",,OO,
잠깐 풀려나니까,"그러면 그 사람이 OO한테 비비고, 그러고 있을 때 OO는?
하지 말라고 그러면서 계속 갈려고 했던 거 같아요. 그러다가 잠깐 그사이에 그 말 듣고 ",,OO,
그거 열고,"그러면 그 사람이 OO한테 비비고, 그러고 있을 때 OO는?
하지 말라고 그러면서 계속 갈려고 했던 거 같아요. 그러다가 잠깐 그사이에 그 말 듣고 잠깐 풀려나니까 그냥 바로 미닫이 문이었단 말이에요. 미닫이 문 거실에 있었는데 ",,OO,
바로 안방으로 그냥 들어갔던 거 같아요.,"그러면 그 사람이 OO한테 비비고, 그러고 있을 때 OO는?
하지 말라고 그러면서 계속 갈려고 했던 거 같아요. 그러다가 잠깐 그사이에 그 말 듣고 잠깐 풀려나니까 그냥 바로 미닫이 문이었단 말이에요. 미닫이 문 거실에 있었는데 그거 열고 ",,OO,
뭐라 했는데,"OO가 “하지 마, 싫다”하니까 그 사람은?",,사람,
기억이 안나요.,"OO가 “하지 마, 싫다”하니까 그 사람은?
뭐라 했는데 그게 ",,OO,
"계속 제 이름 부르다가,","OO가 “하지 마, 싫다”하니까 그 사람은?
뭐라 했는데 그게 기억이 안나요.
그래 가지고 OO가 방에 들어왔다고 했어, 미닫이문을 열고 방을 들어왔어. 그다음은?",,사람,
한참 제 이름 불렀는데,"OO가 “하지 마, 싫다”하니까 그 사람은?
뭐라 했는데 그게 기억이 안나요.
그래 가지고 OO가 방에 들어왔다고 했어, 미닫이문을 열고 방을 들어왔어. 그다음은?
계속 제 이름 부르다가, ",,사람,
그 다음부터는 안 불렀어요.,"OO가 “하지 마, 싫다”하니까 그 사람은?
뭐라 했는데 그게 기억이 안나요.
그래 가지고 OO가 방에 들어왔다고 했어, 미닫이문을 열고 방을 들어왔어. 그다음은?
계속 제 이름 부르다가, 한참 제 이름 불렀는데 제가 답도 안하고, 동생이랑 계속 얘기하고, 휴대폰만 하고 있었는데 계속 ",,사람,
뭐 휴대폰 보면서 거기 나와 있는 얘기 하거나,"동생이랑은 무슨 얘기 했어요?
그냥 ",,동생,
그냥 기분이 이상하고,그때 방에 들어갔을 때 OO는 어땠어?,,OO,
그냥 기분 나빴어요.,"그때 방에 들어갔을 때 OO는 어땠어?
그냥 기분이 이상하고 ",,OO,
되게 잘해줬어요.,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 ",,새아빠,
뭐 먹고 싶다고 그러면,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 되게 잘해줬어요. 되게 막 챙겨주고, ",,OO,
사주고,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 되게 잘해줬어요. 되게 막 챙겨주고, 뭐 먹고 싶다고 그러면 ",,새아빠,
갖고 싶다고 그러면,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 되게 잘해줬어요. 되게 막 챙겨주고, 뭐 먹고 싶다고 그러면 사주고,",,OO,
사주고,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 되게 잘해줬어요. 되게 막 챙겨주고, 뭐 먹고 싶다고 그러면 사주고, 갖고 싶다고 그러면 갖게 한 번은 ",,새아빠,
엄마랑도 되게 잘 지내고,"이 일이 있기 전까지는 새아빠라는 사람하고는 관계가 어땠어요? OO랑.
지금 생각해서는 싫지만 옛날에는 되게, 처음에는 초반이어서 그때가 되게 잘해줬어요. 되게 막 챙겨주고, 뭐 먹고 싶다고 그러면 사주고, 갖고 싶다고 그러면 갖게 한 번은 사주고 ",,새아빠,
되게 오래 그랬던 거 같아요.,그러면 혹시 이 사람이 그 비볐다고 했는데 그게 어느 정도였는지 기억나요? 어느 정도 그랬는지 시간.,,사람,
이런 식으로 말해서,모르겠어요. 그래서 엄마도 얘기했을 때 처음에는 좀 화를 내더니 나중에는 두 번째 얘기 나왔을 때는 “방에 동생이 있었잖아.” ,,엄마,
셋이 같이 밥을 먹으러 가쟤요. ,"엄마가 애기를 가졌다고 하는 순간 이때부터 참아왔던 게, 다 응어리졌던 게 엄마한테 말을 했는데 엄마가 처음에는 화를 냈어요. 근데 나중에 ",,엄마,
항상 아침에 옷 다 벗고 있어요.,"OO가 이 일에 대해서 말하게 되고, 그것도 이따가 다시 물어볼게요. OO가 아까 그때 그 사람이 옷을 다 벗고 있었다고 했거든. 그건 어떻게 알았어? 옷을 다 벗고 있었다는 건?",,사람,
